trait,group1,group2,p.value
BillDepth,everetti,erythropleurus,2.6e-15
BillDepth,japonicus CONTINENTAL,erythropleurus,0.73121
BillDepth,japonicus CONTINENTAL,everetti,7.8e-08
BillDepth,japonicus OCEANIC,erythropleurus,< 2e-16
BillDepth,japonicus OCEANIC,everetti,1.00000
BillDepth,japonicus OCEANIC,japonicus CONTINENTAL,7.9e-10
BillDepth,meyeni,erythropleurus,1.9e-10
BillDepth,meyeni,everetti,1.00000
BillDepth,meyeni,japonicus CONTINENTAL,8.7e-05
BillDepth,meyeni,japonicus OCEANIC,1.00000
BillDepth,montanus NORTH,erythropleurus,1.00000
BillDepth,montanus NORTH,everetti,2.7e-07
BillDepth,montanus NORTH,japonicus CONTINENTAL,1.00000
BillDepth,montanus NORTH,japonicus OCEANIC,4.1e-09
BillDepth,montanus NORTH,meyeni,4.9e-05
BillDepth,montanus SOUTH,erythropleurus,4.5e-07
BillDepth,montanus SOUTH,everetti,0.00029
BillDepth,montanus SOUTH,japonicus CONTINENTAL,0.17446
BillDepth,montanus SOUTH,japonicus OCEANIC,2.2e-06
BillDepth,montanus SOUTH,meyeni,0.12582
BillDepth,montanus SOUTH,montanus NORTH,0.05215
BillDepth,nigrorum,erythropleurus,0.00020
BillDepth,nigrorum,everetti,0.00090
BillDepth,nigrorum,japonicus CONTINENTAL,1.00000
BillDepth,nigrorum,japonicus OCEANIC,1.1e-05
BillDepth,nigrorum,meyeni,0.09210
BillDepth,nigrorum,montanus NORTH,0.46928
BillDepth,nigrorum,montanus SOUTH,1.00000
BillDepth,nigrorum CS,erythropleurus,< 2e-16
BillDepth,nigrorum CS,everetti,0.15987
BillDepth,nigrorum CS,japonicus CONTINENTAL,1.4e-10
BillDepth,nigrorum CS,japonicus OCEANIC,1.00000
BillDepth,nigrorum CS,meyeni,0.10228
BillDepth,nigrorum CS,montanus NORTH,2.1e-10
BillDepth,nigrorum CS,montanus SOUTH,2.6e-07
BillDepth,nigrorum CS,nigrorum,4.4e-07
BillDepth,palpebrosus,erythropleurus,1.00000
BillDepth,palpebrosus,everetti,1.0e-13
BillDepth,palpebrosus,japonicus CONTINENTAL,1.00000
BillDepth,palpebrosus,japonicus OCEANIC,1.3e-15
BillDepth,palpebrosus,meyeni,2.7e-09
BillDepth,palpebrosus,montanus NORTH,1.00000
BillDepth,palpebrosus,montanus SOUTH,7.4e-06
BillDepth,palpebrosus,nigrorum,0.00138
BillDepth,palpebrosus,nigrorum CS,3.0e-15
BillDepth,simplex,erythropleurus,1.00000
BillDepth,simplex,everetti,< 2e-16
BillDepth,simplex,japonicus CONTINENTAL,0.12488
BillDepth,simplex,japonicus OCEANIC,< 2e-16
BillDepth,simplex,meyeni,1.5e-12
BillDepth,simplex,montanus NORTH,1.00000
BillDepth,simplex,montanus SOUTH,1.7e-09
BillDepth,simplex,nigrorum,5.5e-06
BillDepth,simplex,nigrorum CS,< 2e-16
BillDepth,simplex,palpebrosus,1.00000
