trait,group1,group2,p.value
BillDepth,everetti,erythropleurus,1.3e-12
BillDepth,japonicus,erythropleurus,3.1e-08
BillDepth,japonicus,everetti,0.55526
BillDepth,meyeni,erythropleurus,1.3e-08
BillDepth,meyeni,everetti,1.00000
BillDepth,meyeni,japonicus,1.00000
BillDepth,montanus,erythropleurus,7.1e-05
BillDepth,montanus,everetti,3.4e-05
BillDepth,montanus,japonicus,0.30082
BillDepth,montanus,meyeni,0.02616
BillDepth,nigrorum,erythropleurus,3.0e-08
BillDepth,nigrorum,everetti,1.00000
BillDepth,nigrorum,japonicus,1.00000
BillDepth,nigrorum,meyeni,1.00000
BillDepth,nigrorum,montanus,0.21244
BillDepth,palpebrosus,erythropleurus,1.00000
BillDepth,palpebrosus,everetti,2.8e-11
BillDepth,palpebrosus,japonicus,4.1e-07
BillDepth,palpebrosus,meyeni,1.1e-07
BillDepth,palpebrosus,montanus,0.00059
BillDepth,palpebrosus,nigrorum,3.6e-07
BillDepth,simplex,erythropleurus,1.00000
BillDepth,simplex,everetti,2.9e-15
BillDepth,simplex,japonicus,1.9e-10
BillDepth,simplex,meyeni,2.5e-10
BillDepth,simplex,montanus,1.1e-06
BillDepth,simplex,nigrorum,2.3e-10
BillDepth,simplex,palpebrosus,1.00000
