trait,group1,group2,p.value
BillNareTip,everetti,erythropleurus,3.9e-07
BillNareTip,japonicus,erythropleurus,< 2e-16
BillNareTip,japonicus,everetti,1.2e-07
BillNareTip,meyeni,erythropleurus,2.0e-09
BillNareTip,meyeni,everetti,1.00000
BillNareTip,meyeni,japonicus,0.10294
BillNareTip,montanus,erythropleurus,1.6e-09
BillNareTip,montanus,everetti,1.00000
BillNareTip,montanus,japonicus,1.5e-09
BillNareTip,montanus,meyeni,1.00000
BillNareTip,nigrorum,erythropleurus,1.0e-06
BillNareTip,nigrorum,everetti,1.00000
BillNareTip,nigrorum,japonicus,1.1e-08
BillNareTip,nigrorum,meyeni,0.87716
BillNareTip,nigrorum,montanus,1.00000
BillNareTip,palpebrosus,erythropleurus,1.00000
BillNareTip,palpebrosus,everetti,1.5e-06
BillNareTip,palpebrosus,japonicus,< 2e-16
BillNareTip,palpebrosus,meyeni,7.2e-09
BillNareTip,palpebrosus,montanus,9.7e-09
BillNareTip,palpebrosus,nigrorum,3.7e-06
BillNareTip,simplex,erythropleurus,0.99512
BillNareTip,simplex,everetti,0.00803
BillNareTip,simplex,japonicus,2.7e-16
BillNareTip,simplex,meyeni,4.5e-05
BillNareTip,simplex,montanus,0.00033
BillNareTip,simplex,nigrorum,0.01742
BillNareTip,simplex,palpebrosus,1.00000
