trait,group1,group2,p.value
BillWidth,everetti,erythropleurus,9.3e-11
BillWidth,japonicus CONTINENTAL,erythropleurus,0.47710
BillWidth,japonicus CONTINENTAL,everetti,0.00054
BillWidth,japonicus OCEANIC,erythropleurus,2.2e-11
BillWidth,japonicus OCEANIC,everetti,1.00000
BillWidth,japonicus OCEANIC,japonicus CONTINENTAL,7.8e-05
BillWidth,meyeni,erythropleurus,1.0e-14
BillWidth,meyeni,everetti,0.53364
BillWidth,meyeni,japonicus CONTINENTAL,8.3e-08
BillWidth,meyeni,japonicus OCEANIC,1.00000
BillWidth,montanus NORTH,erythropleurus,0.04752
BillWidth,montanus NORTH,everetti,0.85374
BillWidth,montanus NORTH,japonicus CONTINENTAL,1.00000
BillWidth,montanus NORTH,japonicus OCEANIC,0.19669
BillWidth,montanus NORTH,meyeni,0.00198
BillWidth,montanus SOUTH,erythropleurus,1.0e-09
BillWidth,montanus SOUTH,everetti,1.00000
BillWidth,montanus SOUTH,japonicus CONTINENTAL,0.00774
BillWidth,montanus SOUTH,japonicus OCEANIC,1.00000
BillWidth,montanus SOUTH,meyeni,0.00805
BillWidth,montanus SOUTH,montanus NORTH,1.00000
BillWidth,nigrorum,erythropleurus,0.23776
BillWidth,nigrorum,everetti,0.00012
BillWidth,nigrorum,japonicus CONTINENTAL,1.00000
BillWidth,nigrorum,japonicus OCEANIC,1.7e-05
BillWidth,nigrorum,meyeni,1.1e-08
BillWidth,nigrorum,montanus NORTH,1.00000
BillWidth,nigrorum,montanus SOUTH,0.00189
BillWidth,nigrorum CS,erythropleurus,1.8e-08
BillWidth,nigrorum CS,everetti,1.00000
BillWidth,nigrorum CS,japonicus CONTINENTAL,0.00082
BillWidth,nigrorum CS,japonicus OCEANIC,1.00000
BillWidth,nigrorum CS,meyeni,1.00000
BillWidth,nigrorum CS,montanus NORTH,0.18693
BillWidth,nigrorum CS,montanus SOUTH,1.00000
BillWidth,nigrorum CS,nigrorum,0.00044
BillWidth,palpebrosus,erythropleurus,1.00000
BillWidth,palpebrosus,everetti,2.0e-10
BillWidth,palpebrosus,japonicus CONTINENTAL,0.54972
BillWidth,palpebrosus,japonicus OCEANIC,4.4e-11
BillWidth,palpebrosus,meyeni,2.2e-14
BillWidth,palpebrosus,montanus NORTH,0.05542
BillWidth,palpebrosus,montanus SOUTH,2.3e-09
BillWidth,palpebrosus,nigrorum,0.28344
BillWidth,palpebrosus,nigrorum CS,2.6e-08
BillWidth,simplex,erythropleurus,1.00000
BillWidth,simplex,everetti,1.7e-10
BillWidth,simplex,japonicus CONTINENTAL,1.00000
BillWidth,simplex,japonicus OCEANIC,4.1e-11
BillWidth,simplex,meyeni,1.7e-14
BillWidth,simplex,montanus NORTH,0.10745
BillWidth,simplex,montanus SOUTH,1.7e-09
BillWidth,simplex,nigrorum,0.57202
BillWidth,simplex,nigrorum CS,4.4e-08
BillWidth,simplex,palpebrosus,1.00000
