trait,group1,group2,p.value
BillWidth,everetti,erythropleurus,7.1e-10
BillWidth,japonicus,erythropleurus,1.0e-06
BillWidth,japonicus,everetti,1.00000
BillWidth,meyeni,erythropleurus,1.9e-13
BillWidth,meyeni,everetti,0.41666
BillWidth,meyeni,japonicus,0.00163
BillWidth,montanus,erythropleurus,1.9e-08
BillWidth,montanus,everetti,1.00000
BillWidth,montanus,japonicus,1.00000
BillWidth,montanus,meyeni,0.00229
BillWidth,nigrorum,erythropleurus,0.00049
BillWidth,nigrorum,everetti,0.05249
BillWidth,nigrorum,japonicus,1.00000
BillWidth,nigrorum,meyeni,2.0e-05
BillWidth,nigrorum,montanus,1.00000
BillWidth,palpebrosus,erythropleurus,1.00000
BillWidth,palpebrosus,everetti,1.4e-09
BillWidth,palpebrosus,japonicus,1.8e-06
BillWidth,palpebrosus,meyeni,3.7e-13
BillWidth,palpebrosus,montanus,4.0e-08
BillWidth,palpebrosus,nigrorum,0.00070
BillWidth,simplex,erythropleurus,1.00000
BillWidth,simplex,everetti,1.2e-09
BillWidth,simplex,japonicus,2.2e-06
BillWidth,simplex,meyeni,3.0e-13
BillWidth,simplex,montanus,3.2e-08
BillWidth,simplex,nigrorum,0.00119
BillWidth,simplex,palpebrosus,1.00000
