Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
2	0.005386	0.019197	0.001752	0.004337	0.001899	0.000907	0.000588	-10429.438
4	0.005386	0.019197	0.001480	0.004324	0.001869	0.000908	0.000598	-10427.452
6	0.005386	0.019197	0.001763	0.004487	0.001883	0.000897	0.000593	-10421.100
8	0.005386	0.019197	0.001763	0.004355	0.001936	0.000906	0.000577	-10420.731
10	0.005179	0.019197	0.001763	0.004930	0.001927	0.000897	0.000580	-10425.433
12	0.005436	0.020408	0.001858	0.005293	0.002067	0.000933	0.000595	-10416.883
14	0.006091	0.022865	0.002081	0.006018	0.002403	0.001040	0.000643	-10432.167
16	0.006091	0.022865	0.001852	0.005982	0.002473	0.001040	0.000625	-10440.815
18	0.006510	0.024440	0.001980	0.005934	0.002553	0.001118	0.000691	-10448.673
20	0.006302	0.023658	0.001916	0.005649	0.002468	0.001089	0.000670	-10427.728
22	0.007221	0.027106	0.002196	0.006671	0.002876	0.001250	0.000768	-10406.208
24	0.007221	0.027106	0.002196	0.006460	0.002772	0.001244	0.000797	-10432.682
26	0.007221	0.026603	0.002196	0.006608	0.003058	0.001233	0.000789	-10428.612
28	0.006185	0.022788	0.001881	0.005553	0.002744	0.001064	0.000654	-10403.936
30	0.006185	0.022788	0.001745	0.005636	0.002773	0.001073	0.000647	-10421.727
32	0.006185	0.022788	0.001745	0.005792	0.002738	0.001062	0.000655	-10418.564
34	0.005903	0.021748	0.001665	0.005677	0.002638	0.001003	0.000619	-10433.088
36	0.005903	0.021748	0.002098	0.005698	0.002676	0.001002	0.000637	-10440.342
38	0.005666	0.020283	0.001956	0.005229	0.002584	0.000939	0.000574	-10415.578
40	0.005712	0.020447	0.001541	0.005019	0.002622	0.000954	0.000568	-10401.986
42	0.005472	0.020755	0.001541	0.005136	0.002554	0.000960	0.000584	-10428.614
44	0.005758	0.020755	0.001541	0.004671	0.002648	0.000961	0.000563	-10406.448
46	0.005258	0.018953	0.001667	0.004249	0.002335	0.000880	0.000532	-10430.647
48	0.005167	0.020599	0.001812	0.004594	0.002590	0.000958	0.000567	-10432.096
