Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
2	0.015754	0.003684	0.003536	0.003473	-10426.887
4	0.013481	0.003153	0.002854	0.003151	-10435.770
6	0.014002	0.003153	0.002864	0.003140	-10414.525
8	0.014977	0.003372	0.003064	0.003358	-10414.027
10	0.017001	0.003828	0.002705	0.003653	-10417.188
12	0.017001	0.003828	0.002705	0.003653	-10422.230
14	0.015787	0.003555	0.001754	0.003392	-10401.409
16	0.014943	0.003365	0.001828	0.003532	-10404.040
18	0.013724	0.003090	0.002623	0.003244	-10430.775
20	0.012478	0.003448	0.002309	0.003046	-10429.351
22	0.014225	0.003930	0.001851	0.003473	-10414.387
24	0.014225	0.003930	0.001940	0.003315	-10420.771
26	0.014225	0.003930	0.001868	0.003441	-10443.271
28	0.015787	0.004362	0.002838	0.003724	-10424.841
30	0.015787	0.004362	0.003108	0.003400	-10439.114
32	0.014733	0.004070	0.002792	0.003297	-10432.660
34	0.014733	0.004070	0.002690	0.003423	-10430.429
36	0.016205	0.003648	0.002958	0.003765	-10445.894
38	0.015176	0.003416	0.002771	0.003526	-10433.959
40	0.015176	0.003416	0.002274	0.003526	-10425.367
42	0.015176	0.003416	0.002391	0.003353	-10425.401
44	0.013455	0.003036	0.002125	0.002980	-10404.841
46	0.016056	0.003497	0.002352	0.003573	-10442.441
48	0.016842	0.003669	0.002467	0.003748	-10436.783
50	0.016842	0.003669	0.002467	0.003748	-10467.365
52	0.016842	0.003669	0.001929	0.003680	-10439.511
54	0.017607	0.003835	0.001939	0.004001	-10437.024
56	0.017626	0.003738	0.001890	0.003899	-10431.432
58	0.017626	0.003738	0.002496	0.003921	-10438.304
60	0.017626	0.004424	0.002496	0.003921	-10433.508
62	0.016646	0.004178	0.002231	0.003914	-10430.026
64	0.016267	0.004083	0.002180	0.003825	-10424.049
66	0.017338	0.004516	0.002365	0.004006	-10447.045
68	0.017338	0.005812	0.002470	0.003835	-10466.638
70	0.017338	0.005812	0.002546	0.003721	-10453.222
72	0.015710	0.005267	0.002210	0.003518	-10451.750
74	0.014779	0.005267	0.002301	0.003380	-10422.689
76	0.014515	0.005172	0.002260	0.003320	-10457.550
78	0.015006	0.005743	0.002320	0.003233	-10483.777
80	0.015006	0.005743	0.002427	0.003091	-10444.424
82	0.013330	0.005101	0.002222	0.002663	-10463.825
84	0.015493	0.005929	0.002583	0.003095	-10448.815
86	0.015493	0.005929	0.002391	0.003345	-10438.522
88	0.014407	0.005514	0.002702	0.003145	-10435.387
90	0.014627	0.005598	0.002743	0.003193	-10470.867
92	0.017472	0.006628	0.003277	0.003814	-10444.402
94	0.017472	0.006628	0.003614	0.003458	-10437.439
96	0.014580	0.005531	0.002960	0.002940	-10448.869
98	0.013106	0.004972	0.002661	0.002643	-10436.142
100	0.014864	0.005639	0.002656	0.003259	-10426.305
102	0.014864	0.005518	0.002675	0.003236	-10440.726
104	0.012613	0.004682	0.002291	0.002720	-10433.046
106	0.014379	0.005316	0.002602	0.003088	-10431.366
108	0.011695	0.004323	0.001964	0.002707	-10454.249
110	0.011695	0.004323	0.002183	0.002435	-10470.196
112	0.012744	0.004119	0.002379	0.002653	-10436.973
114	0.012744	0.004804	0.002153	0.002931	-10421.596
116	0.013640	0.005142	0.002305	0.003137	-10421.410
118	0.013640	0.005142	0.001777	0.002973	-10431.021
120	0.013361	0.005037	0.001740	0.002912	-10466.045
122	0.013361	0.004188	0.001742	0.002908	-10447.800
124	0.013361	0.004188	0.001795	0.002908	-10428.578
126	0.012244	0.003838	0.001645	0.002665	-10442.786
128	0.016478	0.005165	0.002387	0.003325	-10450.179
130	0.014356	0.004500	0.002080	0.002897	-10437.622
132	0.014356	0.004500	0.001967	0.003064	-10459.601
134	0.014356	0.004500	0.002042	0.002951	-10445.869
136	0.013692	0.004291	0.001948	0.002814	-10439.532
138	0.013863	0.004314	0.002114	0.002808	-10429.124
140	0.016199	0.005041	0.002624	0.003089	-10414.360
142	0.016199	0.005041	0.002866	0.003089	-10426.858
144	0.014610	0.004546	0.002401	0.002999	-10418.344
146	0.015261	0.004546	0.002573	0.002800	-10419.094
148	0.014947	0.003911	0.002648	0.002881	-10420.362
150	0.014947	0.003911	0.002792	0.002732	-10463.713
152	0.014947	0.003911	0.002792	0.002732	-10460.960
154	0.016267	0.004158	0.002968	0.002905	-10463.303
156	0.016267	0.004158	0.002968	0.002905	-10416.948
158	0.017022	0.004386	0.002720	0.003070	-10426.353
160	0.017317	0.004386	0.002720	0.003070	-10426.473
162	0.015952	0.004503	0.002881	0.002898	-10413.577
164	0.015194	0.004289	0.002744	0.002760	-10407.327
166	0.015194	0.004289	0.002744	0.002760	-10398.256
168	0.016856	0.004759	0.003030	0.003077	-10422.899
170	0.016085	0.003974	0.003059	0.002775	-10412.782
172	0.015784	0.004738	0.002978	0.002850	-10424.816
174	0.014374	0.004315	0.003545	0.002591	-10419.105
176	0.016445	0.004811	0.004673	0.002889	-10428.018
178	0.017943	0.005249	0.004883	0.003292	-10409.604
180	0.017943	0.005249	0.004883	0.003292	-10430.911
182	0.017943	0.005038	0.004016	0.003292	-10429.958
184	0.021990	0.006174	0.004922	0.004034	-10422.979
186	0.021990	0.006174	0.004866	0.004081	-10395.535
188	0.025671	0.005675	0.006441	0.004738	-10416.832
190	0.025671	0.005675	0.006461	0.004724	-10388.603
192	0.024151	0.005161	0.006632	0.004128	-10433.970
194	0.023290	0.005161	0.006632	0.004128	-10433.040
196	0.021605	0.004787	0.005602	0.004206	-10429.046
198	0.021605	0.004787	0.005363	0.004393	-10443.905
200	0.021981	0.004871	0.005395	0.004520	-10435.964
202	0.021981	0.004871	0.005574	0.004375	-10443.465
204	0.021981	0.004202	0.005692	0.004284	-10439.840
206	0.021981	0.004202	0.005462	0.004465	-10421.644
208	0.021981	0.004202	0.005294	0.004607	-10436.228
