Gen	theta_1JpMe	theta_2MoN	theta_3MoS	theta_4Si	theta_5JpMeMoNMoSSi	theta_6JpMeMoNMoS	theta_7JpMeMoN	tau_5JpMeMoNMoSSi	tau_6JpMeMoNMoS	tau_7JpMeMoN	lnL
2	0.003340	0.002407	0.011986	0.002425	0.003206	0.002159	0.005245	0.002846	0.000839	0.000368	-10430.715
4	0.002956	0.002130	0.010606	0.002146	0.002825	0.002876	0.004642	0.002525	0.000603	0.000326	-10415.193
6	0.003406	0.002455	0.012224	0.002474	0.003322	0.003314	0.007308	0.002866	0.000695	0.000375	-10404.726
8	0.002951	0.002127	0.011821	0.002143	0.002671	0.002240	0.005643	0.002624	0.000680	0.000325	-10438.529
10	0.002951	0.002127	0.011821	0.002143	0.002826	0.002240	0.006524	0.002517	0.000680	0.000325	-10442.059
12	0.002951	0.002127	0.011821	0.002143	0.002916	0.002240	0.005955	0.002460	0.000680	0.000325	-10430.324
14	0.002821	0.002033	0.011296	0.002048	0.002513	0.002140	0.005691	0.002537	0.000650	0.000311	-10452.988
16	0.003264	0.002352	0.013071	0.002370	0.002695	0.002477	0.006585	0.003108	0.000752	0.000360	-10428.926
18	0.003052	0.002200	0.011315	0.002216	0.002660	0.002316	0.006158	0.002790	0.000703	0.000336	-10406.381
20	0.003429	0.002471	0.012711	0.002490	0.003037	0.002602	0.006918	0.003097	0.000790	0.000378	-10432.548
22	0.003429	0.002471	0.012711	0.002490	0.002270	0.003297	0.007166	0.003154	0.000702	0.000371	-10456.286
24	0.002947	0.002124	0.010928	0.002141	0.002706	0.002957	0.005235	0.002795	0.000591	0.000376	-10444.742
26	0.003126	0.002254	0.011593	0.002271	0.003490	0.003137	0.005553	0.002858	0.000627	0.000399	-10453.173
28	0.003126	0.002254	0.011593	0.002271	0.003651	0.002633	0.005553	0.002760	0.000671	0.000399	-10450.146
30	0.003519	0.002537	0.013049	0.002556	0.004005	0.002963	0.006251	0.003168	0.000756	0.000449	-10473.970
32	0.003519	0.002537	0.013049	0.002556	0.003956	0.002963	0.006251	0.003198	0.000756	0.000449	-10473.351
34	0.003519	0.002537	0.013049	0.002556	0.003823	0.002963	0.007106	0.003283	0.000756	0.000449	-10480.777
36	0.003093	0.002229	0.011469	0.002246	0.003272	0.002605	0.006246	0.002946	0.000664	0.000394	-10470.120
38	0.002970	0.002141	0.011013	0.002157	0.003335	0.002501	0.005998	0.002701	0.000638	0.000379	-10446.752
40	0.002931	0.002113	0.009909	0.002129	0.005310	0.002468	0.005919	0.002598	0.000629	0.000374	-10428.484
42	0.002931	0.002113	0.009909	0.002129	0.005310	0.001864	0.005919	0.002598	0.000712	0.000374	-10435.160
44	0.002722	0.001962	0.009204	0.001977	0.004225	0.002127	0.005497	0.002623	0.000603	0.000347	-10432.657
46	0.002722	0.001962	0.009204	0.001977	0.004437	0.002127	0.004975	0.002815	0.000603	0.000347	-10435.897
48	0.002722	0.001962	0.009204	0.001977	0.003619	0.002127	0.004975	0.002766	0.000603	0.000347	-10441.483
50	0.003038	0.002190	0.010033	0.002206	0.004179	0.002373	0.005552	0.003005	0.000673	0.000387	-10455.004
52	0.003038	0.002190	0.010033	0.002206	0.003088	0.002353	0.005552	0.003019	0.000675	0.000387	-10443.286
54	0.003038	0.002190	0.010033	0.002206	0.003077	0.002692	0.005716	0.003028	0.000639	0.000387	-10441.870
56	0.003291	0.002372	0.010869	0.002390	0.004097	0.002706	0.006193	0.003280	0.000714	0.000420	-10423.071
58	0.003417	0.002463	0.012413	0.002482	0.003514	0.002809	0.008000	0.003425	0.000741	0.000436	-10457.050
