Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
2	0.002785	0.000390	0.002173	0.014229	0.001666	0.005151	0.000915	0.006870	0.000650	0.000996	0.000668	0.000219	0.000204	-10436.268
4	0.002785	0.000390	0.002173	0.014179	0.001666	0.005009	0.000862	0.006870	0.000650	0.000972	0.000695	0.000219	0.000204	-10423.112
6	0.002531	0.000355	0.001975	0.012080	0.001514	0.003852	0.000757	0.006244	0.000582	0.000900	0.000647	0.000199	0.000189	-10438.266
8	0.002500	0.000350	0.001821	0.012507	0.001495	0.003805	0.000745	0.005807	0.000574	0.000888	0.000641	0.000196	0.000186	-10443.539
10	0.002500	0.000350	0.001821	0.012507	0.001495	0.004110	0.000745	0.005807	0.000574	0.000888	0.000641	0.000196	0.000186	-10434.673
12	0.002500	0.000350	0.002244	0.012507	0.001495	0.004110	0.000789	0.005807	0.000574	0.000888	0.000631	0.000196	0.000186	-10419.818
14	0.002350	0.000329	0.002016	0.011756	0.001405	0.003939	0.000766	0.005888	0.000540	0.000830	0.000580	0.000185	0.000175	-10438.477
16	0.001939	0.000272	0.001663	0.009699	0.001478	0.003181	0.000623	0.005245	0.000445	0.000690	0.000483	0.000152	0.000144	-10450.112
18	0.001939	0.000272	0.001663	0.009699	0.001478	0.002844	0.000733	0.005245	0.000445	0.000670	0.000434	0.000152	0.000144	-10430.883
20	0.002203	0.000309	0.001890	0.011021	0.001679	0.003010	0.000833	0.005959	0.000506	0.000781	0.000493	0.000173	0.000164	-10441.456
22	0.002203	0.000309	0.001890	0.011021	0.001679	0.002967	0.000827	0.005959	0.000515	0.000783	0.000495	0.000173	0.000161	-10455.498
24	0.002203	0.000309	0.001890	0.011021	0.001679	0.002967	0.000972	0.005959	0.000515	0.000783	0.000447	0.000173	0.000161	-10443.566
26	0.002203	0.000309	0.001890	0.011021	0.001478	0.003612	0.000972	0.005959	0.000569	0.000783	0.000447	0.000173	0.000146	-10436.200
28	0.002585	0.000362	0.002217	0.012932	0.001734	0.004559	0.000979	0.006699	0.000667	0.000891	0.000578	0.000203	0.000171	-10426.602
30	0.002356	0.000330	0.002201	0.011784	0.001406	0.003435	0.000845	0.006532	0.000608	0.000839	0.000546	0.000185	0.000156	-10435.441
32	0.002356	0.000330	0.002201	0.011784	0.001406	0.003148	0.000775	0.006002	0.000608	0.000863	0.000578	0.000185	0.000156	-10427.075
34	0.001926	0.000270	0.001799	0.009634	0.001149	0.002574	0.000603	0.004907	0.000497	0.000706	0.000489	0.000151	0.000128	-10432.751
