lineage	species	status
japonicus	japonicus	0
alani1	alani	0
alani2	alani	0
alani3	alani	0
meyeni1	meyeni	0
meyeni2	meyeni	0
meyeni3	meyeni	0
montanus1	montanus	0
montanus2	montanus	1
montanus3	montanus	1
montanus4	montanus	1
montanus5	montanus	1
montanus6	montanus	1
montanus7	montanus	1
montanus8	montanus	0
simplex1	simplex	1
simplex2	simplex	1
simplex3	simplex	1
erythro1	erythropleurus	1
erythro2	erythropleurus	1
everetti1	everetti	1
everetti2	everetti	1
everetti3	everetti	1
nigrorum1	nigrorum	0
nigrorum2	nigrorum	1
nigrorum3	nigrorum	1
nigrorum4	nigrorum	1
nigrorum5	nigrorum	0
palpebro	palpebrosus	1

