SAMPLE	TAXON	LOCALE	LAT	LONG
ZEba001	everetti	MINDANAO	7.0189	125.4984
ZEba002	everetti	MINDANAO	9.1925	124.7085
ZEba003	everetti	MINDANAO	9.0740	125.6420
ZEbo001	everetti	SAMAR	11.8280	125.2760
ZERxx001	erythropleurus	RUSSIAb	42.9700	132.8900
ZERxx003	erythropleurus	RUSSIAb	44.7500	132.7700
ZJal001	japonicus alani	HAHAJIMA	26.6735	142.1541
ZJal002	japonicus alani	HAHAJIMA	26.6735	142.1541
ZJal006	japonicus alani	IMOTOJIMA	26.5587	142.2085
ZJal007	japonicus alani	IMOTOJIMA	26.5587	142.2085
ZJal008	japonicus alani	IMOTOJIMA	26.5587	142.2085
ZJal009	japonicus alani	IMOTOJIMA	26.5587	142.2085
ZJal013	japonicus alani	ANEJIMA	26.5506	142.1581
ZJal014	japonicus alani	ANEJIMA	26.5506	142.1581
ZJal015	japonicus alani	IMOTOJIMA	26.5587	142.2085
ZJal016	japonicus alani	IWOTO	24.7876	141.3156
ZJal017	japonicus alani	IWOTO	24.7876	141.3156
ZJal018	japonicus alani	IWOTO	24.7876	141.3156
ZJal019	japonicus alani	IWOTO	24.7876	141.3156
ZJba001	meyeni	LANYU	22.0436	121.5484
ZJba002	meyeni	LANYU	22.0436	121.5484
ZJja006	japonicus	JEJU	33.4890	126.4983
ZJja007	japonicus	JEJU	33.4890	126.4983
ZJja008	japonicus	HONSHU	35.6388	139.7256
ZJja011	japonicus	HUEKSANDO	34.6707	125.4196
ZJja015	japonicus	HONSHU	35.7263	139.7168
ZJja017	japonicus	HONSHU	36.6024	137.6088
ZJja018	japonicus	HOKKAIDO	42.9393	143.4477
ZJja019	japonicus	HONSHU	36.3402	139.4498
ZJja021	japonicus	HONSHU	35.6388	139.7256
ZJja022	japonicus	HONSHU	37.2832	138.9816
ZJja024	japonicus	HONSHU	36.7846	136.8348
ZJja026	japonicus	HONSHU	33.7030	135.3759
ZJja031	japonicus	HONSHU	35.7032	139.6975
ZJja032	japonicus	HONSHU	35.7032	139.6975
ZJja034	japonicus	TSUSHIMA	34.4081	129.2860
Zjja035	japonicus	TSUSHIMA	34.4081	129.2860
ZJlo001	japonicus alani	CHICHIJIMA	27.0744	142.2178
ZJlo002	japonicus alani	CHICHIJIMA	27.0744	142.2178
ZJlo003	japonicus alani	CHICHIJIMA	27.0744	142.2178
ZJlo004	japonicus alani	CHICHIJIMA	27.0744	142.2178
ZJlo005	japonicus alani	CHICHIJIMA	27.0744	142.2178
ZJlo006	japonicus	IRIOMOTE	24.3301	123.8188
ZJlo007	japonicus	OKINAWA	26.7456	128.1779
ZJlo008	japonicus	OKINAWA	26.7456	128.1779
ZJlo009	japonicus	OKINAWA	26.7456	128.1779
ZJlo010	japonicus	ISHIGAKI	24.4064	124.1754
ZJlo011	japonicus	ISHIGAKI	24.4064	124.1754
ZJlo013	japonicus	KIKAI	28.317	129.9401
ZJlo014	japonicus	IRIOMOTE	24.3301	123.8188
ZJlo018	japonicus	IRIOMOTE	24.3301	123.8188
ZJlo020	japonicus	IRIOMOTE	24.3301	123.8188
ZJlo023	japonicus	OKINOERABU	27.5737	128.5737
ZJlo026	japonicus	MIYAKOJIMA	24.8218	125.3137
ZJlo027	japonicus	YONAGUNI	24.4680	123.0045
ZJlo032	japonicus	KUMEJIMA	26.3504	126.7712
ZJlo034	japonicus	MIYAKOJIMA	24.7354	125.3000
ZJlo035	japonicus	OKINAWA	26.7456	128.1779
ZJlo038	japonicus	OKINAWA	26.7456	128.1779
ZJlo039	japonicus	ISHIGAKI	24.4064	124.1754
ZJlo042	japonicus	AMAMI	28.3192	129.2765
ZJlo051	japonicus	OKINOERABU	27.5737	128.5737
ZJsi001	simplex	TAIWAN	22.7613	121.1438
ZJsi003	simplex	TAIWAN	22.7613	121.1438
ZJsi005	simplex	TAIWAN	22.7613	121.1438
ZJsi015	simplex	MACAO	22.1987	113.5439
ZJsi018	simplex	SICHUAN	30.6509	104.0757
ZJsi025	simplex	GUANGDONG	23.1317	113.2663
ZJsi026	simplex	YUNNAN	25.0453	102.7097
ZJst001	japonicus	NIIJIMA	34.3771	139.2569
ZJst002	japonicus	AOGASHIMA	32.4570	139.7652
ZJst006	japonicus	AOGASHIMA	32.4570	139.7652
ZJst008	japonicus	KOZUSHIMA	34.2055	139.1345
ZJst011	japonicus	KOZUSHIMA	34.2055	139.1345
ZJst013	japonicus	MIYAKEJIMA	34.0788	139.5178
ZJst016	japonicus	MIYAKEJIMA	34.0788	139.5178
ZJst017	japonicus	NIIJIMA	34.3771	139.2569
ZMOmo004	montanus SOUTH	JAVA	-7.6145	110.7122
ZMOvu001	montanus SOUTH	MINDANAO	7.0189	125.4984
ZMOvu006	montanus SOUTH	MINDANAO	6.0234	124.6414
ZMOvu007	montanus SOUTH	MINDANAO	6.0234	124.6414
ZMOxx004	montanus SOUTH	PANAY	11.3936	122.1661
ZMOxx006	montanus SOUTH	PANAY	11.4109	122.2881
ZMOxx007	montanus SOUTH	PANAY	11.4109	122.2881
ZMOxx008	montanus SOUTH	PANAY	11.4109	122.2881
ZMxx007	meyeni	LANYU	22.0093	121.5721
ZMxx008	meyeni	LANYU	22.0093	121.5721
