pairwise_comp,genetic_dist,morpho_dist
MONT_MEYE,1.60,1.36
MONT_EVER,36.23,0.88
MONT_NIGR,28.42,0.27
MONT_ERYT,18.93,2.44
MONT_JAPO,4.37,3.00
MONT_SIMP,26.40,2.07
MONT_PALP,35.81,2.60
MEYE_EVER,37.13,1.04
MEYE_NIGR,29.33,1.45
MEYE_ERYT,20.43,3.29
MEYE_JAPO,2.75,2.13
MEYE_SIMP,27.33,3.22
MEYE_PALP,37.22,3.81
EVER_NIGR,7.82,0.76
EVER_ERYT,28.28,2.52
EVER_JAPO,38.43,2.87
EVER_SIMP,37.80,2.43
EVER_PALP,39.36,2.89
NIGR_ERYT,21.81,2.23
NIGR_JAPO,30.69,3.08
NIGR_SIMP,32.50,1.90
NIGR_PALP,35.39,2.41
ERYT_JAPO,22.96,3.99
ERYT_SIMP,25.85,0.93
ERYT_PALP,18.54,1.48
JAPO_SIMP,29.36,4.18
JAPO_PALP,39.66,5.02
SIMP_PALP,39.09,0.94
