SAMPLE	TAXON	LOCALE
ZJlo012	japonicus	KIKAI
ZJlo015	japonicus	AMAMI
ZJlo016	japonicus	MIYAKOJIMA
ZJlo017	japonicus	IRIOMOTE
ZJlo021	japonicus	TOKUNOSHIMA
ZJlo022	japonicus	TOKUNOSHIMA
ZJlo024	japonicus	YONAGUMI
ZJlo031	japonicus	KUMEJIMA
ZJlo045	japonicus	AMAMI
ZJlo046	japonicus	MIYAKOJIMA
ZJlo050	japonicus	OKINOERABU
ZJlo052	japonicus	OKINOERABU
ZJlo055	japonicus	KIKAI
ZJja001	japonicus	GEOJE
ZJja002	japonicus	GEOJE
ZJja003	japonicus	JEJU
ZJja004	japonicus	JEJU
ZJja005	japonicus	JEJU
ZJja009	japonicus	HEUKSANDO
ZJja010	japonicus	HEUKSANDO
ZJja012	japonicus	HONSHU
ZJja013	japonicus	HONSHU
ZJja014	japonicus	HONSHU
ZJja016	japonicus	SHIKOKU
ZJja030	japonicus	HEUKSANDO
ZJal003	japonicus_alani	HAHAJIMA
Zjal004	japonicus_alani	HAHAJIMA
ZJal005	japonicus_alani	HAHAJIMA
ZJal010	japonicus_alani	ANEJIMA
ZJal011	japonicus_alani	ANEJIMA
ZJal012	japonicus_alani	ANEJIMA
ZJal020	japonicus_alani	IWOTO
ZJst007	japonicus	KOZUSHIMA
ZJst009	japonicus	KOZUSHIMA
ZJst010	japonicus	KOZUSHIMA
ZJst012	japonicus	MIYAKEJIMA
ZJst014	japonicus	MIYAKEJIMA
ZJst015	japonicus	MIYAKEJIMA
ZJin001	japonicus	KAGOSHIMA
ZJin003	japonicus	KAGOSHIMA
ZJsi002	simplex	TAIWAN
ZJsi017	simplex	GUANGXI
ZJsi032	simplex	GUANGXI
ZJsi023	simplex	GUANGDONG
ZJsi024	simplex	GUANGDONG
ZJsi027	simplex	GUANGXI
ZJsi028	simplex	GUANGXI
ZJsi029	simplex	GUANGXI
ZJsi031	simplex	GUANGXI
ZPxx001	simplex	SINGAPORE
ZPxx002	simplex	SINGAPORE
ZMxx002	meyeni	BATAN
ZMxx003	meyeni	LANYU
ZMxx004	meyeni	LANYU
ZMxx005	meyeni	LANYU
ZMxx006	meyeni	LANYU
ZMOxx001	montanus_SOUTH	PANAY
ZMOxx002	montanus_SOUTH	PANAY
ZMOxx003	montanus_SOUTH	PANAY
ZMOxx005	montanus_SOUTH	PANAY
ZMOha001	montanus_NORTH	MINDORO
ZMOwh002	montanus_NORTH	LUZON
ZMOwh003	montanus_NORTH	LUZON
ZMOwh004	montanus_NORTH	LUZON
ZMOwh005	montanus_NORTH	LUZON
ZMOwh006	montanus_NORTH	LUZON
ZMOvu002	montanus_SOUTH	MINDANAO
ZMOvu003	montanus_SOUTH	MINDANAO
ZMOvu004	montanus_SOUTH	MINDANAO
ZMOvu005	montanus_SOUTH	MINDANAO
ZMOmo001	montanus_SOUTH	SULAWESI
ZMOpa001	montanus_PALAWAN	PALAWAN
ZMOpa002	montanus_PALAWAN	PALAWAN
ZNni001	nigrorum	PANAY
ZERxx002	erythropleurus	RUSSIAb
ZERxx004	erythropleurus	RUSSIAb
ZERxx005	erythropleurus	RUSSIAb
Zsim23588	simplex	VIETNAM
Zsim28142	simplex	VIETNAM
Zsim30897	palpebrosus	VIETNAM
Zpal23498	palpebrosus	VIETNAM
Zpal23522	palpebrosus	VIETNAM
Zmon20893	montanus_SOUTH	NEGROS
Zmon20892	montanus_SOUTH	NEGROS
Zmon20902	montanus_SOUTH	NEGROS
Zmon20909	montanus_SOUTH	NEGROS
Zsim31166	montanus_SOUTH	JAVA
Zsim31159	montanus_SOUTH	JAVA
Zmey17876	meyeni	BATAN
Zmey17877	meyeni	BATAN
Zmey17852	meyeni	BATAN
Zmey17922	meyeni	SABTANG
Zmey17920	meyeni	SABTANG
Zmey17925	meyeni	SABTANG
Zmey17923	meyeni	SABTANG
Zery28090	erythropleurus	VIETNAMnb
Zery28091	erythropleurus	VIETNAMnb
Zery28088	erythropleurus	VIETNAMnb
Zni10863	nigrorum	CAMIGUINNORTE
Zni14341	nigrorum	CAMIGUINSUR	
Zni19650	nigrorum	LUZON
Zni17984	nigrorum	LUZON
ZjaDOT-10981	palpebrosus	VIETNAM
ZjaDOT-5235	simplex	TAIWAN
Z_LA_122866_2	simplex	LOSANGELES
Z_LA_122577_2	simplex	LOSANGELES
Z_LA_122188_2	simplex	LOSANGELES
Zsim13809	simplex	GUIZHOU
Zsim13773	simplex	GUIZHOU
Zsim6797	simplex	HUNAN
Zsim10336	simplex	GUANGXI
Zsim11362	simplex	GUIZHOU
Zsim11102	simplex	GUIZHOU
Zsim11220	simplex	GUIZHOU
Zmon20899	montanus_SOUTH	MINDANAO
Zmon28375	montanus_SOUTH	MINDANAO
Zev13949	everetti	CAMIGUINSUR
Zev31650	everetti	SAMAR
Zev28451	everetti	MINDANAO
Z_HI_BRY431	japonicus	HAWAII
Z_HI_NAN290	japonicus	HAWAII
Z_HI_WAI087	japonicus	HAWAII
Z_HI_WAI078	japonicus	HAWAII
Z_HI_SOL783	japonicus	HAWAII
