ID	POP
ZJlo012	japonicus
ZJlo015	japonicus
ZJlo016	japonicus
ZJlo017	japonicus
ZJlo021	japonicus
ZJlo022	japonicus
ZJlo024	japonicus
ZJlo031	japonicus
ZJlo045	japonicus
ZJlo046	japonicus
ZJlo050	japonicus
ZJlo052	japonicus
ZJlo055	japonicus
ZJja001	japonicus
ZJja002	japonicus
ZJja003	japonicus
ZJja004	japonicus
ZJja005	japonicus
ZJja009	japonicus
ZJja010	japonicus
ZJja012	japonicus
ZJja013	japonicus
ZJja014	japonicus
ZJja016	japonicus
ZJja030	japonicus
ZJal003	japonicusOGASAWARA
Zjal004	japonicusOGASAWARA
ZJal005	japonicusOGASAWARA
ZJal010	japonicusOGASAWARA
ZJal011	japonicusOGASAWARA
ZJal012	japonicusOGASAWARA
ZJal020	japonicusOGASAWARA
ZJst007	japonicus
ZJst009	japonicus
ZJst010	japonicus
ZJst012	japonicus
ZJst014	japonicus
ZJst015	japonicus
ZJin001	japonicus
ZJin003	japonicus
ZJsi002	simplex
ZJsi017	simplex
ZJsi032	simplex
ZJsi023	simplex
ZJsi024	simplex
ZJsi027	simplex
ZJsi028	simplex
ZJsi029	simplex
ZJsi031	simplex
ZPxx001	simplex
ZPxx002	simplex
ZMxx002	meyeni
ZMxx003	meyeni
ZMxx004	meyeni
ZMxx005	meyeni
ZMxx006	meyeni
ZMOxx001	montanusSOUTH
ZMOxx002	montanusSOUTH
ZMOxx003	montanusSOUTH
ZMOxx005	montanusSOUTH
ZMOha001	montanusNORTH
ZMOwh002	montanusNORTH
ZMOwh003	montanusNORTH
ZMOwh004	montanusNORTH
ZMOwh005	montanusNORTH
ZMOwh006	montanusNORTH
ZMOvu002	montanusSOUTH
ZMOvu003	montanusSOUTH
ZMOvu004	montanusSOUTH
ZMOvu005	montanusSOUTH
ZMOmo001	montanusINDONESIA
ZMOpa001	montanusPALAWAN
ZMOpa002	montanusPALAWAN
ZNni001	nigrorum
ZERxx002	erythropleurus
ZERxx004	erythropleurus
ZERxx005	erythropleurus
Zsim23588	simplex
Zsim28142	simplex
Zsim30897	palpebrosus
Zpal23498	palpebrosus
Zpal23522	palpebrosus
Zmon20893	montanusSOUTH
Zmon20892	montanusSOUTH
Zmon20902	montanusSOUTH
Zmon20909	montanusSOUTH
Zsim31166	montanusINDONESIA
Zsim31159	montanusINDONESIA
Zmey17876	meyeni
Zmey17877	meyeni
Zmey17852	meyeni
Zmey17922	meyeni
Zmey17920	meyeni	
Zmey17925	meyeni
Zmey17923	meyeni
Zery28090	erythropleurus
Zery28091	erythropleurus
Zery28088	erythropleurus
Zni10863	nigrorum
Zni14341	montanusSOUTH	
Zni19650	nigrorum
Zni17984	nigrorum
ZjaDOT-10981	palpebrosus
ZjaDOT-5235	simplex
Z_LA_122866_2	simplex
Z_LA_122577_2	simplex
Z_LA_122188_2	simplex
Zsim13809	simplex
Zsim13773	simplex
Zsim6797	simplex
Zsim10336	simplex
Zsim11362	simplex
Zsim11102	simplex
Zsim11220	simplex
Zmon20899	montanusSOUTH
Zmon28375	montanusSOUTH
Zev13949	everetti
Zev31650	everetti
Zev28451	everetti
Z_HI_BRY431	japonicus
Z_HI_NAN290	japonicus
Z_HI_WAI087	japonicus
Z_HI_WAI078	japonicus
Z_HI_SOL783	japonicus
