trait,group1,group2,p.value
Tail,everetti,erythropleurus,1.00000
Tail,japonicus CONTINENTAL,erythropleurus,0.00054
Tail,japonicus CONTINENTAL,everetti,0.00055
Tail,japonicus OCEANIC,erythropleurus,9.4e-10
Tail,japonicus OCEANIC,everetti,6.3e-11
Tail,japonicus OCEANIC,japonicus CONTINENTAL,1.00000
Tail,meyeni,erythropleurus,1.00000
Tail,meyeni,everetti,1.00000
Tail,meyeni,japonicus CONTINENTAL,0.01797
Tail,meyeni,japonicus OCEANIC,2.2e-07
Tail,montanus NORTH,erythropleurus,0.18772
Tail,montanus NORTH,everetti,0.01053
Tail,montanus NORTH,japonicus CONTINENTAL,1.8e-09
Tail,montanus NORTH,japonicus OCEANIC,7.6e-16
Tail,montanus NORTH,meyeni,0.01897
Tail,montanus SOUTH,erythropleurus,0.29101
Tail,montanus SOUTH,everetti,0.00101
Tail,montanus SOUTH,japonicus CONTINENTAL,3.0e-14
Tail,montanus SOUTH,japonicus OCEANIC,< 2e-16
Tail,montanus SOUTH,meyeni,0.01176
Tail,montanus SOUTH,montanus NORTH,1.00000
Tail,nigrorum,erythropleurus,1.00000
Tail,nigrorum,everetti,0.38074
Tail,nigrorum,japonicus CONTINENTAL,6.6e-09
Tail,nigrorum,japonicus OCEANIC,< 2e-16
Tail,nigrorum,meyeni,0.60780
Tail,nigrorum,montanus NORTH,1.00000
Tail,nigrorum,montanus SOUTH,1.00000
Tail,nigrorum CS,erythropleurus,1.00000
Tail,nigrorum CS,everetti,1.00000
Tail,nigrorum CS,japonicus CONTINENTAL,0.77271
Tail,nigrorum CS,japonicus OCEANIC,0.00080
Tail,nigrorum CS,meyeni,1.00000
Tail,nigrorum CS,montanus NORTH,0.01807
Tail,nigrorum CS,montanus SOUTH,0.02618
Tail,nigrorum CS,nigrorum,0.45994
Tail,palpebrosus,erythropleurus,1.00000
Tail,palpebrosus,everetti,1.00000
Tail,palpebrosus,japonicus CONTINENTAL,3.9e-05
Tail,palpebrosus,japonicus OCEANIC,2.7e-11
Tail,palpebrosus,meyeni,1.00000
Tail,palpebrosus,montanus NORTH,0.91949
Tail,palpebrosus,montanus SOUTH,1.00000
Tail,palpebrosus,nigrorum,1.00000
Tail,palpebrosus,nigrorum CS,1.00000
Tail,simplex,erythropleurus,1.00000
Tail,simplex,everetti,1.00000
Tail,simplex,japonicus CONTINENTAL,0.00113
Tail,simplex,japonicus OCEANIC,1.4e-09
Tail,simplex,meyeni,1.00000
Tail,simplex,montanus NORTH,0.05658
Tail,simplex,montanus SOUTH,0.04354
Tail,simplex,nigrorum,1.00000
Tail,simplex,nigrorum CS,1.00000
Tail,simplex,palpebrosus,1.00000
