trait,group1,group2,p.value
Tail,everetti,erythropleurus,1.00000
Tail,japonicus,erythropleurus,7.4e-09
Tail,japonicus,everetti,1.9e-10
Tail,meyeni,erythropleurus,1.00000
Tail,meyeni,everetti,1.00000
Tail,meyeni,japonicus,2.1e-06
Tail,montanus,erythropleurus,0.07341
Tail,montanus,everetti,0.00012
Tail,montanus,japonicus,< 2e-16
Tail,montanus,meyeni,0.00252
Tail,nigrorum,erythropleurus,1.00000
Tail,nigrorum,everetti,1.00000
Tail,nigrorum,japonicus,< 2e-16
Tail,nigrorum,meyeni,1.00000
Tail,nigrorum,montanus,0.23484
Tail,palpebrosus,erythropleurus,1.00000
Tail,palpebrosus,everetti,1.00000
Tail,palpebrosus,japonicus,1.8e-10
Tail,palpebrosus,meyeni,1.00000
Tail,palpebrosus,montanus,0.71946
Tail,palpebrosus,nigrorum,1.00000
Tail,simplex,erythropleurus,1.00000
Tail,simplex,everetti,1.00000
Tail,simplex,japonicus,9.9e-09
Tail,simplex,meyeni,1.00000
Tail,simplex,montanus,0.00906
Tail,simplex,nigrorum,1.00000
Tail,simplex,palpebrosus,1.00000
