trait,group1,group2,p.value
Wing,everetti,erythropleurus,2.0e-11
Wing,japonicus CONTINENTAL,erythropleurus,1.00000
Wing,japonicus CONTINENTAL,everetti,3.9e-05
Wing,japonicus OCEANIC,erythropleurus,0.16614
Wing,japonicus OCEANIC,everetti,< 2e-16
Wing,japonicus OCEANIC,japonicus CONTINENTAL,3.1e-06
Wing,meyeni,erythropleurus,5.2e-05
Wing,meyeni,everetti,1.00000
Wing,meyeni,japonicus CONTINENTAL,0.33529
Wing,meyeni,japonicus OCEANIC,2.0e-13
Wing,montanus NORTH,erythropleurus,4.4e-13
Wing,montanus NORTH,everetti,0.52088
Wing,montanus NORTH,japonicus CONTINENTAL,8.2e-08
Wing,montanus NORTH,japonicus OCEANIC,< 2e-16
Wing,montanus NORTH,meyeni,0.01242
Wing,montanus SOUTH,erythropleurus,8.3e-11
Wing,montanus SOUTH,everetti,1.00000
Wing,montanus SOUTH,japonicus CONTINENTAL,0.00031
Wing,montanus SOUTH,japonicus OCEANIC,< 2e-16
Wing,montanus SOUTH,meyeni,1.00000
Wing,montanus SOUTH,montanus NORTH,0.03019
Wing,nigrorum,erythropleurus,< 2e-16
Wing,nigrorum,everetti,1.3e-06
Wing,nigrorum,japonicus CONTINENTAL,< 2e-16
Wing,nigrorum,japonicus OCEANIC,< 2e-16
Wing,nigrorum,meyeni,1.2e-08
Wing,nigrorum,montanus NORTH,1.00000
Wing,nigrorum,montanus SOUTH,6.2e-11
Wing,nigrorum CS,erythropleurus,1.00000
Wing,nigrorum CS,everetti,1.1e-05
Wing,nigrorum CS,japonicus CONTINENTAL,1.00000
Wing,nigrorum CS,japonicus OCEANIC,0.13036
Wing,nigrorum CS,meyeni,0.02543
Wing,nigrorum CS,montanus NORTH,2.1e-08
Wing,nigrorum CS,montanus SOUTH,7.6e-05
Wing,nigrorum CS,nigrorum,4.5e-16
Wing,palpebrosus,erythropleurus,< 2e-16
Wing,palpebrosus,everetti,0.00271
Wing,palpebrosus,japonicus CONTINENTAL,7.2e-13
Wing,palpebrosus,japonicus OCEANIC,< 2e-16
Wing,palpebrosus,meyeni,2.4e-05
Wing,palpebrosus,montanus NORTH,1.00000
Wing,palpebrosus,montanus SOUTH,9.2e-06
Wing,palpebrosus,nigrorum,1.00000
Wing,palpebrosus,nigrorum CS,2.9e-12
Wing,simplex,erythropleurus,4.9e-12
Wing,simplex,everetti,1.00000
Wing,simplex,japonicus CONTINENTAL,4.2e-06
Wing,simplex,japonicus OCEANIC,< 2e-16
Wing,simplex,meyeni,0.67514
Wing,simplex,montanus NORTH,1.00000
Wing,simplex,montanus SOUTH,1.00000
Wing,simplex,nigrorum,0.00260
Wing,simplex,nigrorum CS,1.2e-06
Wing,simplex,palpebrosus,0.24063
