trait,group1,group2,p.value
Wing,everetti,erythropleurus,8.0e-09
Wing,japonicus,erythropleurus,1.00000
Wing,japonicus,everetti,2.0e-15
Wing,meyeni,erythropleurus,0.00064
Wing,meyeni,everetti,1.00000
Wing,meyeni,japonicus,1.7e-06
Wing,montanus,erythropleurus,3.7e-10
Wing,montanus,everetti,1.00000
Wing,montanus,japonicus,< 2e-16
Wing,montanus,meyeni,1.00000
Wing,nigrorum,erythropleurus,7.2e-14
Wing,nigrorum,everetti,1.00000
Wing,nigrorum,japonicus,< 2e-16
Wing,nigrorum,meyeni,0.03526
Wing,nigrorum,montanus,0.21858
Wing,palpebrosus,erythropleurus,2.4e-15
Wing,palpebrosus,everetti,0.01308
Wing,palpebrosus,japonicus,< 2e-16
Wing,palpebrosus,meyeni,0.00036
Wing,palpebrosus,montanus,0.00141
Wing,palpebrosus,nigrorum,1.00000
Wing,simplex,erythropleurus,2.6e-09
Wing,simplex,everetti,1.00000
Wing,simplex,japonicus,1.2e-14
Wing,simplex,meyeni,0.87372
Wing,simplex,montanus,1.00000
Wing,simplex,nigrorum,1.00000
Wing,simplex,palpebrosus,0.39700
