ID	POP
ZJlo012	japonicusRYUKYUc
ZJlo015	japonicusRYUKYUc
ZJlo016	japonicusRYUKYUs
ZJlo017	japonicusRYUKYUs
ZJlo021	japonicusRYUKYUc
ZJlo022	japonicusRYUKYUc
ZJlo024	japonicusRYUKYUs
ZJlo031	japonicusRYUKYUc
ZJlo045	japonicusRYUKYUc
ZJlo046	japonicusRYUKYUs
ZJlo050	japonicusRYUKYUc
ZJlo052	japonicusRYUKYUc
ZJlo055	japonicusRYUKYUc
ZJja001	japonicusKOREA
ZJja002	japonicusKOREA
ZJja003	japonicusKOREA
ZJja004	japonicusKOREA
ZJja005	japonicusKOREA
ZJja009	japonicusKOREA
ZJja010	japonicusKOREA
ZJja012	japonicusJAPAN
ZJja013	japonicusJAPAN
ZJja014	japonicusJAPAN
ZJja016	japonicusJAPAN
ZJja030	japonicusKOREA
ZJal003	japonicusOGASAWARA
Zjal004	japonicusOGASAWARA
ZJal005	japonicusOGASAWARA
ZJal010	japonicusOGASAWARA
ZJal011	japonicusOGASAWARA
ZJal012	japonicusOGASAWARA
ZJal020	japonicusOGASAWARA
ZJst007	japonicusIZU
ZJst009	japonicusIZU
ZJst010	japonicusIZU
ZJst012	japonicusIZU
ZJst014	japonicusIZU
ZJst015	japonicusIZU
ZJin001	japonicusRYUKYUn
ZJin003	japonicusRYUKYUn
ZJsi002	simplexASIA
ZJsi017	simplexASIA
ZJsi032	simplexASIA
ZJsi023	simplexASIA
ZJsi024	simplexASIA
ZJsi027	simplexASIA
ZJsi028	simplexASIA
ZJsi029	simplexASIA
ZJsi031	simplexASIA
ZPxx001	simplexASIA
ZPxx002	simplexASIA
ZMxx002	meyeniBATAN
ZMxx003	meyeniLANYU
ZMxx004	meyeniLANYU
ZMxx005	meyeniLANYU
ZMxx006	meyeniLANYU
ZMOxx001	montanusVISAYAS
ZMOxx002	montanusVISAYAS
ZMOxx003	montanusVISAYAS
ZMOxx005	montanusVISAYAS
ZMOha001	montanusNORTH
ZMOwh002	montanusNORTH
ZMOwh003	montanusNORTH
ZMOwh004	montanusNORTH
ZMOwh005	montanusNORTH
ZMOwh006	montanusNORTH
ZMOvu002	montanusMINDANAO
ZMOvu003	montanusMINDANAO
ZMOvu004	montanusMINDANAO
ZMOvu005	montanusMINDANAO
ZMOmo001	montanusINDONESIA
ZMOpa001	montanusPALAWAN
ZMOpa002	montanusPALAWAN
ZNni001	nigrorum
ZERxx002	erythropleurus
ZERxx004	erythropleurus
ZERxx005	erythropleurus
Zsim23588	simplexASIA
Zsim28142	simplexASIA
Zsim30897	palpebrosus
Zpal23498	palpebrosus
Zpal23522	palpebrosus
Zmon20893	montanusVISAYAS
Zmon20892	montanusVISAYAS
Zmon20902	montanusVISAYAS
Zmon20909	montanusVISAYAS
Zsim31166	montanusINDONESIA
Zsim31159	montanusINDONESIA
Zmey17876	meyeniBATAN
Zmey17877	meyeniBATAN
Zmey17852	meyeniBATAN
Zmey17922	meyeniBATAN
Zmey17920	meyeniBATAN	
Zmey17925	meyeniBATAN
Zmey17923	meyeniBATAN
Zery28090	erythropleurus
Zery28091	erythropleurus
Zery28088	erythropleurus
Zni10863	nigrorum
Zni14341	montanusMINDANAO	
Zni19650	nigrorum
Zni17984	nigrorum
ZjaDOT-10981	palpebrosus
ZjaDOT-5235	simplexASIA
Z_LA_122866_2	simplexNA
Z_LA_122577_2	simplexNA
Z_LA_122188_2	simplexNA
Zsim13809	simplexASIA
Zsim13773	simplexASIA
Zsim6797	simplexASIA
Zsim10336	simplexASIA
Zsim11362	simplexASIA
Zsim11102	simplexASIA
Zsim11220	simplexASIA
Zmon20899	montanusVISAYAS
Zmon28375	montanusMINDANAO
Zev13949	everetti
Zev31650	everetti
Zev28451	everetti
Z_HI_BRY431	japonicusHAWAII
Z_HI_NAN290	japonicusHAWAII
Z_HI_WAI087	japonicusHAWAII
Z_HI_WAI078	japonicusHAWAII
Z_HI_SOL783	japonicusHAWAII
