Original_Pop	Sample	Assigned_Pop	Posterior_membership_probability
japonicus	ZJlo012	erythropleurus	5.20686029892633e-218
japonicus	ZJlo012	everetti	1.1675643101537e-57
japonicus	ZJlo012	japonicus	0.858622698477846
japonicus	ZJlo012	japonicus_alani	0.14137730146556
japonicus	ZJlo012	meyeni	4.88343829779586e-11
japonicus	ZJlo012	montanus_NORTH	7.75997015825574e-12
japonicus	ZJlo012	montanus_PALAWAN	4.07091294146355e-19
japonicus	ZJlo012	montanus_SOUTH	2.06955720118821e-28
japonicus	ZJlo012	nigrorum	2.6992303487124e-48
japonicus	ZJlo012	palpebrosus	0
japonicus	ZJlo012	simplex	9.87508671077804e-54
japonicus	ZJlo015	erythropleurus	2.77443225467174e-217
japonicus	ZJlo015	everetti	2.46305634699982e-58
japonicus	ZJlo015	japonicus	0.854040449498547
japonicus	ZJlo015	japonicus_alani	0.14595955046637
japonicus	ZJlo015	meyeni	2.90936390406562e-11
japonicus	ZJlo015	montanus_NORTH	5.98922850450218e-12
japonicus	ZJlo015	montanus_PALAWAN	2.61732941516635e-19
japonicus	ZJlo015	montanus_SOUTH	8.79040022245059e-29
japonicus	ZJlo015	nigrorum	6.38473537485937e-49
japonicus	ZJlo015	palpebrosus	0
japonicus	ZJlo015	simplex	7.0788517241197e-53
japonicus	ZJlo016	erythropleurus	7.54836398590863e-213
japonicus	ZJlo016	everetti	1.8105149763768e-55
japonicus	ZJlo016	japonicus	0.851247183536638
japonicus	ZJlo016	japonicus_alani	0.14875281472651
japonicus	ZJlo016	meyeni	1.5118888141449e-09
japonicus	ZJlo016	montanus_NORTH	2.24963956770363e-10
japonicus	ZJlo016	montanus_PALAWAN	3.360361998206e-17
japonicus	ZJlo016	montanus_SOUTH	6.38024786072905e-26
japonicus	ZJlo016	nigrorum	6.35871217012345e-46
japonicus	ZJlo016	palpebrosus	0
japonicus	ZJlo016	simplex	9.24734373114281e-53
japonicus	ZJlo017	erythropleurus	1.29904080002844e-212
japonicus	ZJlo017	everetti	3.65609784440429e-56
japonicus	ZJlo017	japonicus	0.848143723523306
japonicus	ZJlo017	japonicus_alani	0.151856275726829
japonicus	ZJlo017	meyeni	6.34254479836655e-10
japonicus	ZJlo017	montanus_NORTH	1.15610326958814e-10
japonicus	ZJlo017	montanus_PALAWAN	1.37967963261972e-17
japonicus	ZJlo017	montanus_SOUTH	1.57759519847947e-26
japonicus	ZJlo017	nigrorum	1.27858974896414e-46
japonicus	ZJlo017	palpebrosus	0
japonicus	ZJlo017	simplex	8.3032118962091e-53
japonicus	ZJlo021	erythropleurus	2.01457383323495e-215
japonicus	ZJlo021	everetti	4.78655916184606e-58
japonicus	ZJlo021	japonicus	0.849463922940015
japonicus	ZJlo021	japonicus_alani	0.150536077004746
japonicus	ZJlo021	meyeni	4.47790955993675e-11
japonicus	ZJlo021	montanus_NORTH	1.04607002430724e-11
japonicus	ZJlo021	montanus_PALAWAN	5.43674595272857e-19
japonicus	ZJlo021	montanus_SOUTH	1.89969429741007e-28
japonicus	ZJlo021	nigrorum	1.33794561017298e-48
japonicus	ZJlo021	palpebrosus	0
japonicus	ZJlo021	simplex	9.44719052044728e-53
japonicus	ZJlo022	erythropleurus	7.41540425543506e-215
japonicus	ZJlo022	everetti	2.10728882152635e-57
japonicus	ZJlo022	japonicus	0.849647026008595
japonicus	ZJlo022	japonicus_alani	0.150352973881875
japonicus	ZJlo022	meyeni	8.99267078347328e-11
japonicus	ZJlo022	montanus_NORTH	1.9603637493312e-11
japonicus	ZJlo022	montanus_PALAWAN	1.23882799783266e-18
japonicus	ZJlo022	montanus_SOUTH	5.99066412442759e-28
